concept_id	concept_synonym_name	language_concept_id
623248	RET:p.C609Y	33071
623248	chr10:g.43609070G>A	33071
623249	NM_000546.5(TP53):c.733G>T (p.Gly245Cys)	33071
623249	TP53:p.G245C	33071
623249	chr17:g.7577548C>A	33071
623250	NM_000038.5(APC):c.3088A>T (p.Lys1030Ter)	33071
623250	APC:p.K1030*	33071
623250	chr5:g.112174379A>T	33071
623251	NFE2L2:p.V32G	33071
623251	chr2:g.178098950A>C	33071
623252	NM_000251.2(MSH2):c.488T>A (p.Val163Asp)	33071
623252	MSH2:p.V163D	33071
623252	chr2:g.47637354T>A	33071
977023	TP53:p.P152T	33071
977024	VHL:p.R120fs (c.358_359insAC)	33071
977024	NP_000542.1:p.Arg120AsnfsTer?	33071
977024	NM_000551.3:c.358_359insAC	33071
977024	NC_000003.11:g.10188215_10188216insAC	33071
977024	NC_000003.12:g.10146531_10146532insAC	33071
977025	NP_005219.2:p.Arg705Lys	33071
977025	NM_005228.3:c.2114G>A	33071
977025	NC_000007.13:g.55241666G>A	33071
977025	ENST00000275493.2:c.2114G>A	33071
977026	JAK2:p.PCM1::JAK2	33071
977027	POLE:p.P286R	33071
